Time   5.117326824985292 	 Money in circulation = 179.0 coins
Time   5.125353702988044 	 ReceiveBlock: 8 3 4
Time   5.125353702988044 	 Money in circulation = 179.0 coins
Time   5.138687100673334 	 ReceiveBlock: 3 8 3
Time   5.138687100673334 	 Money in circulation = 179.0 coins
Time   5.1509650403847225 	 ReceiveBlock: 0 7 4
Time   5.1509650403847225 	 Money in circulation = 179.0 coins
Time   5.156636946394358 	 ReceiveBlock: 2 5 3
Time   5.156636946394358 	 Money in circulation = 179.0 coins
Time   5.182913694816682 	 ReceiveBlock: 3 1 4
Time   5.182913694816682 	 Money in circulation = 179.0 coins
Time   5.18871979605037 	 ReceiveTXN: 6 8 9
Time   5.18871979605037 	 Money in circulation = 179.0 coins
Time   5.2708861222672745 	 ReceiveTXN: 2 5 9
Time   5.2708861222672745 	 Money in circulation = 179.0 coins
Time   5.277488957384573 	 ReceiveTXN: 0 3 9
Time   5.277488957384573 	 Money in circulation = 179.0 coins
Time   5.297294609266093 	 ReceiveBlock: 1 4 4
Time   5.297294609266093 	 Money in circulation = 179.0 coins
Time   5.3207606650447445 	 ReceiveBlock: 3 8 4
Time   5.3207606650447445 	 Money in circulation = 179.0 coins
Time   5.347101311644662 	 ReceiveBlock: 9 4 4
Time   5.347101311644662 	 Money in circulation = 179.0 coins
Time   5.419208275475411 	 ReceiveBlock: 4 9 3
Time   5.419208275475411 	 Money in circulation = 179.0 coins
Time   5.451132212452913 	 ReceiveTXN: 8 7 9
Time   5.451132212452913 	 Money in circulation = 200.0 coins
Time   5.509148329584094 	 ReceiveBlock: 7 0 4
Time   5.509148329584094 	 Money in circulation = 200.0 coins
Time   5.54086322265882 	 ReceiveTXN: 8 3 9
Time   5.54086322265882 	 Money in circulation = 200.0 coins
Time   5.5694659750097335 	 ReceiveTXN: 0 7 9
Time   5.5694659750097335 	 Money in circulation = 200.0 coins
Time   5.594621394556644 	 ReceiveTXN: 3 1 9
Time   5.594621394556644 	 Money in circulation = 200.0 coins
Time   5.599198906510363 	 ReceiveBlock: 4 9 4
Time   5.599198906510363 	 Money in circulation = 200.0 coins
Time   5.603328473564199 	 ReceiveBlock: 5 9 3
Time   5.603328473564199 	 Money in circulation = 200.0 coins
Time   5.697744171546942 	 GenerateTXN: 4
Time   5.697744171546942 	 Money in circulation = 200.0 coins
Time   5.709233805982097 	 ReceiveTXN: 1 4 9
Time   5.709233805982097 	 Money in circulation = 200.0 coins
Time   5.715152514493827 	 ReceiveTXN: 5 9 9
Time   5.715152514493827 	 Money in circulation = 200.0 coins
Time   5.717428717242995 	 ReceiveBlock: 9 5 3
Time   5.717428717242995 	 Money in circulation = 200.0 coins
Time   5.734025743095005 	 ReceiveTXN: 3 8 9
Time   5.734025743095005 	 Money in circulation = 200.0 coins
